"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.iut-evry.fr/213.186.33.24","443","INFO","HTTP","",""
"pre_128cipher","www.iut-evry.fr/213.186.33.24","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.iut-evry.fr/213.186.33.24","443","OK","not offered","",""
"SSLv3","www.iut-evry.fr/213.186.33.24","443","OK","not offered","",""
"TLS1","www.iut-evry.fr/213.186.33.24","443","INFO","not offered","",""
"TLS1_1","www.iut-evry.fr/213.186.33.24","443","INFO","not offered","",""
"TLS1_2","www.iut-evry.fr/213.186.33.24","443","OK","offered","",""
"TLS1_3","www.iut-evry.fr/213.186.33.24","443","OK","offered with final","",""
"ALPN_HTTP2","www.iut-evry.fr/213.186.33.24","443","OK","h2","",""
"cipherlist_NULL","www.iut-evry.fr/213.186.33.24","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.iut-evry.fr/213.186.33.24","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.iut-evry.fr/213.186.33.24","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.iut-evry.fr/213.186.33.24","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.iut-evry.fr/213.186.33.24","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.iut-evry.fr/213.186.33.24","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.iut-evry.fr/213.186.33.24","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.iut-evry.fr/213.186.33.24","443","OK","offered","",""
"cipher_order-tls1_2","www.iut-evry.fr/213.186.33.24","443","OK","server","",""
"cipherorder_TLSv1_2","www.iut-evry.fr/213.186.33.24","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"cipher_order","www.iut-evry.fr/213.186.33.24","443","OK","server","",""
"FS","www.iut-evry.fr/213.186.33.24","443","OK","offered","",""
"FS_ciphers","www.iut-evry.fr/213.186.33.24","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384","",""
"FS_KEMs","www.iut-evry.fr/213.186.33.24","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.iut-evry.fr/213.186.33.24","443","OK","prime256v1","",""
"TLS_extensions","www.iut-evry.fr/213.186.33.24","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.iut-evry.fr/213.186.33.24","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.iut-evry.fr/213.186.33.24","443","INFO","yes","",""
"sessionresumption_ticket","www.iut-evry.fr/213.186.33.24","443","INFO","not supported","",""
"sessionresumption_ID","www.iut-evry.fr/213.186.33.24","443","INFO","supported","",""
"TLS_timestamp","www.iut-evry.fr/213.186.33.24","443","INFO","random","",""
"certificate_compression","www.iut-evry.fr/213.186.33.24","443","INFO","none","",""
"clientAuth","www.iut-evry.fr/213.186.33.24","443","INFO","none","",""
"cert_numbers","www.iut-evry.fr/213.186.33.24","443","INFO","1","",""
"cert_signatureAlgorithm","www.iut-evry.fr/213.186.33.24","443","OK","ECDSA with SHA384","",""
"cert_keySize","www.iut-evry.fr/213.186.33.24","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.iut-evry.fr/213.186.33.24","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.iut-evry.fr/213.186.33.24","443","INFO","TLS Web Server Authentication","",""
